Country or Area,Value,Year,Item
Mali,40.46444,2019,Central Government Debt (Percent of GDP)
Malta,39.792212,2019,Central Government Debt (Percent of GDP)
Mauritania,58.115281,2019,Central Government Debt (Percent of GDP)
Mexico,36.438691,2019,Central Government Debt (Percent of GDP)
Moldova,24.985544,2019,Central Government Debt (Percent of GDP)
Mongolia,59.970385,2019,Central Government Debt (Percent of GDP)
Montenegro,63.731752,2019,Central Government Debt (Percent of GDP)
Morocco,65.78433,2019,Central Government Debt (Percent of GDP)
Mozambique,104.37806,2019,Central Government Debt (Percent of GDP)
Myanmar,38.843895,2019,Central Government Debt (Percent of GDP)
Namibia,54.285901,2019,Central Government Debt (Percent of GDP)
Nepal,30.068833,2019,Central Government Debt (Percent of GDP)
New Zealand,31.541673,2019,Central Government Debt (Percent of GDP)
Nicaragua,42.138541,2019,Central Government Debt (Percent of GDP)
Niger,41.725834,2019,Central Government Debt (Percent of GDP)
Nigeria,26.459895,2019,Central Government Debt (Percent of GDP)
North Macedonia ,40.078319,2019,Central Government Debt (Percent of GDP)
Norway,14.386396,2019,Central Government Debt (Percent of GDP)
Oman,63.056467,2019,Central Government Debt (Percent of GDP)
Pakistan,85.555482,2019,Central Government Debt (Percent of GDP)
Papua New Guinea,40.059257,2019,Central Government Debt (Percent of GDP)
Paraguay,21.104364,2019,Central Government Debt (Percent of GDP)
Peru,23.203959,2019,Central Government Debt (Percent of GDP)
Poland,42.81127,2019,Central Government Debt (Percent of GDP)
Portugal,120.67647,2019,Central Government Debt (Percent of GDP)
Qatar,56.181976,2019,Central Government Debt (Percent of GDP)
Romania,35.898505,2019,Central Government Debt (Percent of GDP)
Russian Federation,13.111517,2019,Central Government Debt (Percent of GDP)
Rwanda,51.360522,2019,Central Government Debt (Percent of GDP)
Saint Kitts and Nevis,24.972941,2019,Central Government Debt (Percent of GDP)
Saint Lucia,61.321095,2019,Central Government Debt (Percent of GDP)
Saint Vincent and the Grenadines,67.651869,2019,Central Government Debt (Percent of GDP)
Samoa,47.52512,2019,Central Government Debt (Percent of GDP)
San Marino,85.707602,2019,Central Government Debt (Percent of GDP)
Saudi Arabia,22.790192,2019,Central Government Debt (Percent of GDP)
Senegal,64.051147,2019,Central Government Debt (Percent of GDP)
Serbia,52.037516,2019,Central Government Debt (Percent of GDP)
Seychelles,55.259859,2019,Central Government Debt (Percent of GDP)
Sierra Leone,70.048518,2019,Central Government Debt (Percent of GDP)
Singapore,129.29467,2019,Central Government Debt (Percent of GDP)
Slovak Republic,52.527322,2019,Central Government Debt (Percent of GDP)
Slovenia,59.492206,2019,Central Government Debt (Percent of GDP)
Solomon Islands,8.9132966,2019,Central Government Debt (Percent of GDP)
South Africa,62.151419,2019,Central Government Debt (Percent of GDP)
"South Sudan, Republic of",65.427368,2019,Central Government Debt (Percent of GDP)
Spain,85.21743,2019,Central Government Debt (Percent of GDP)
Sri Lanka,86.78072,2019,Central Government Debt (Percent of GDP)
Sudan,200.36832,2019,Central Government Debt (Percent of GDP)
Suriname,82.295468,2019,Central Government Debt (Percent of GDP)
Sweden,36.095501,2019,Central Government Debt (Percent of GDP)
Switzerland,no data,2019,Central Government Debt (Percent of GDP)
Syria,no data,2019,Central Government Debt (Percent of GDP)
São Tomé and Príncipe,73.069495,2019,Central Government Debt (Percent of GDP)
Taiwan Province of China,28.213329,2019,Central Government Debt (Percent of GDP)
Thailand,34.021842,2019,Central Government Debt (Percent of GDP)
Timor-Leste,11.930195,2019,Central Government Debt (Percent of GDP)
Togo,70.854239,2019,Central Government Debt (Percent of GDP)
Tonga,41.280578,2019,Central Government Debt (Percent of GDP)
Trinidad and Tobago,45.006188,2019,Central Government Debt (Percent of GDP)
Tunisia,72.333072,2019,Central Government Debt (Percent of GDP)
Turkey,30.758726,2019,Central Government Debt (Percent of GDP)
Turkmenistan,32.782965,2019,Central Government Debt (Percent of GDP)
Tuvalu,19.523678,2019,Central Government Debt (Percent of GDP)
Uganda,38.228906,2019,Central Government Debt (Percent of GDP)
Ukraine,50.276706,2019,Central Government Debt (Percent of GDP)
United Kingdom,84.387706,2019,Central Government Debt (Percent of GDP)
United States,92.567148,2019,Central Government Debt (Percent of GDP)
Uruguay,53.875788,2019,Central Government Debt (Percent of GDP)
Vanuatu,45.341935,2019,Central Government Debt (Percent of GDP)
Venezuela,no data,2019,Central Government Debt (Percent of GDP)
Vietnam,44.249233,2019,Central Government Debt (Percent of GDP)
West Bank and Gaza,34.635125,2019,Central Government Debt (Percent of GDP)
Yemen,76.527015,2019,Central Government Debt (Percent of GDP)
Zambia,91.897678,2019,Central Government Debt (Percent of GDP)
Zimbabwe,50.1,2019,Central Government Debt (Percent of GDP)
"©IMF, 2021",,2019,Central Government Debt (Percent of GDP)
Afghanistan,2.6,2017,Real GDP growth (Annual percent change)
Albania,3.8,2017,Real GDP growth (Annual percent change)
Algeria,1.3,2017,Real GDP growth (Annual percent change)
Angola,-0.2,2017,Real GDP growth (Annual percent change)
Antigua and Barbuda,3.1,2017,Real GDP growth (Annual percent change)
Argentina,2.8,2017,Real GDP growth (Annual percent change)
Armenia,7.5,2017,Real GDP growth (Annual percent change)
Aruba,2.3,2017,Real GDP growth (Annual percent change)
Australia,2.4,2017,Real GDP growth (Annual percent change)
Austria,2.4,2017,Real GDP growth (Annual percent change)
Azerbaijan,0.2,2017,Real GDP growth (Annual percent change)
"Bahamas, The",3.1,2017,Real GDP growth (Annual percent change)
Bahrain,4.3,2017,Real GDP growth (Annual percent change)
Bangladesh,7.3,2017,Real GDP growth (Annual percent change)
Barbados,0.5,2017,Real GDP growth (Annual percent change)
Belarus,2.5,2017,Real GDP growth (Annual percent change)
Belgium,1.6,2017,Real GDP growth (Annual percent change)
Belize,1.8,2017,Real GDP growth (Annual percent change)
Benin,5.7,2017,Real GDP growth (Annual percent change)
Bhutan,6.3,2017,Real GDP growth (Annual percent change)
Bolivia,4.2,2017,Real GDP growth (Annual percent change)
Bosnia and Herzegovina,3.2,2017,Real GDP growth (Annual percent change)
Botswana,2.9,2017,Real GDP growth (Annual percent change)
Brazil,1.3,2017,Real GDP growth (Annual percent change)
Brunei Darussalam,1.3,2017,Real GDP growth (Annual percent change)
Bulgaria,3.5,2017,Real GDP growth (Annual percent change)
Burkina Faso,6.2,2017,Real GDP growth (Annual percent change)
Burundi,0.5,2017,Real GDP growth (Annual percent change)
Cabo Verde,3.7,2017,Real GDP growth (Annual percent change)
Cambodia,7,2017,Real GDP growth (Annual percent change)
Cameroon,3.5,2017,Real GDP growth (Annual percent change)
Canada,3,2017,Real GDP growth (Annual percent change)
Central African Republic,4.5,2017,Real GDP growth (Annual percent change)
Chad,-2.4,2017,Real GDP growth (Annual percent change)
Chile,1.2,2017,Real GDP growth (Annual percent change)
"China, People's Republic of",6.9,2017,Real GDP growth (Annual percent change)
Colombia,1.4,2017,Real GDP growth (Annual percent change)
Comoros,4.2,2017,Real GDP growth (Annual percent change)
"Congo, Dem. Rep. of the",3.7,2017,Real GDP growth (Annual percent change)
"Congo, Republic of ",-4.4,2017,Real GDP growth (Annual percent change)
Costa Rica,4.2,2017,Real GDP growth (Annual percent change)
Croatia,3.4,2017,Real GDP growth (Annual percent change)
Cyprus,5.2,2017,Real GDP growth (Annual percent change)
Czech Republic,5.2,2017,Real GDP growth (Annual percent change)
Côte d'Ivoire,7.4,2017,Real GDP growth (Annual percent change)
Denmark,2.8,2017,Real GDP growth (Annual percent change)
Djibouti,5.1,2017,Real GDP growth (Annual percent change)
Dominica,-9.5,2017,Real GDP growth (Annual percent change)
Dominican Republic,4.7,2017,Real GDP growth (Annual percent change)
Ecuador,2.4,2017,Real GDP growth (Annual percent change)
Egypt,4.1,2017,Real GDP growth (Annual percent change)
El Salvador,2.2,2017,Real GDP growth (Annual percent change)
Equatorial Guinea,-5.7,2017,Real GDP growth (Annual percent change)
Eritrea,-10,2017,Real GDP growth (Annual percent change)
Estonia,5.5,2017,Real GDP growth (Annual percent change)
Eswatini,2,2017,Real GDP growth (Annual percent change)
Ethiopia,10.2,2017,Real GDP growth (Annual percent change)
Fiji,5.4,2017,Real GDP growth (Annual percent change)
Finland,3.2,2017,Real GDP growth (Annual percent change)
France,2.3,2017,Real GDP growth (Annual percent change)
Gabon,0.5,2017,Real GDP growth (Annual percent change)
"Gambia, The",4.8,2017,Real GDP growth (Annual percent change)
Georgia,4.8,2017,Real GDP growth (Annual percent change)
Germany,2.6,2017,Real GDP growth (Annual percent change)
Ghana,8.1,2017,Real GDP growth (Annual percent change)
Greece,1.3,2017,Real GDP growth (Annual percent change)
Grenada,4.4,2017,Real GDP growth (Annual percent change)
Guatemala,3,2017,Real GDP growth (Annual percent change)
Guinea,10.3,2017,Real GDP growth (Annual percent change)
Guinea-Bissau,4.8,2017,Real GDP growth (Annual percent change)
Guyana,3.7,2017,Real GDP growth (Annual percent change)
Haiti,2.3,2017,Real GDP growth (Annual percent change)
Honduras,4.8,2017,Real GDP growth (Annual percent change)
Hong Kong SAR,3.8,2017,Real GDP growth (Annual percent change)
Hungary,4.3,2017,Real GDP growth (Annual percent change)
Iceland,4.2,2017,Real GDP growth (Annual percent change)
India,6.8,2017,Real GDP growth (Annual percent change)
Indonesia,5.1,2017,Real GDP growth (Annual percent change)
Iran,3.8,2017,Real GDP growth (Annual percent change)
Iraq,-3.4,2017,Real GDP growth (Annual percent change)
Ireland,9.4,2017,Real GDP growth (Annual percent change)
Israel,3.6,2017,Real GDP growth (Annual percent change)
Italy,1.7,2017,Real GDP growth (Annual percent change)
Jamaica,0.7,2017,Real GDP growth (Annual percent change)
Japan,1.7,2017,Real GDP growth (Annual percent change)
Jordan,2.1,2017,Real GDP growth (Annual percent change)
Kazakhstan,4.1,2017,Real GDP growth (Annual percent change)
Kenya,4.8,2017,Real GDP growth (Annual percent change)
Kiribati,0.9,2017,Real GDP growth (Annual percent change)
"Korea, Republic of",3.2,2017,Real GDP growth (Annual percent change)
Kosovo,4.2,2017,Real GDP growth (Annual percent change)
Kuwait,-4.7,2017,Real GDP growth (Annual percent change)
Kyrgyz Republic,4.7,2017,Real GDP growth (Annual percent change)
Lao P.D.R.,6.9,2017,Real GDP growth (Annual percent change)
Latvia,3.3,2017,Real GDP growth (Annual percent change)
Lebanon,0.9,2017,Real GDP growth (Annual percent change)
Lesotho,-2.7,2017,Real GDP growth (Annual percent change)
Liberia,2.5,2017,Real GDP growth (Annual percent change)
Libya,64,2017,Real GDP growth (Annual percent change)
Lithuania,4.3,2017,Real GDP growth (Annual percent change)
Luxembourg,1.8,2017,Real GDP growth (Annual percent change)
Macao SAR,10,2017,Real GDP growth (Annual percent change)
Madagascar,3.9,2017,Real GDP growth (Annual percent change)
Malawi,4,2017,Real GDP growth (Annual percent change)
Malaysia,5.8,2017,Real GDP growth (Annual percent change)
Maldives,7.2,2017,Real GDP growth (Annual percent change)
Mali,5.3,2017,Real GDP growth (Annual percent change)
Malta,8.1,2017,Real GDP growth (Annual percent change)
Marshall Islands,3.3,2017,Real GDP growth (Annual percent change)
Mauritania,3.5,2017,Real GDP growth (Annual percent change)
Mauritius,3.8,2017,Real GDP growth (Annual percent change)
Mexico,2.1,2017,Real GDP growth (Annual percent change)
"Micronesia, Fed. States of",2.7,2017,Real GDP growth (Annual percent change)
Moldova,4.7,2017,Real GDP growth (Annual percent change)
Mongolia,5.3,2017,Real GDP growth (Annual percent change)
Montenegro,4.7,2017,Real GDP growth (Annual percent change)
Morocco,4.2,2017,Real GDP growth (Annual percent change)
Mozambique,3.7,2017,Real GDP growth (Annual percent change)
Myanmar,5.8,2017,Real GDP growth (Annual percent change)
Namibia,-1,2017,Real GDP growth (Annual percent change)
Nauru,-5.5,2017,Real GDP growth (Annual percent change)
Nepal,9,2017,Real GDP growth (Annual percent change)
Netherlands,2.9,2017,Real GDP growth (Annual percent change)
New Zealand,3.5,2017,Real GDP growth (Annual percent change)
Nicaragua,4.6,2017,Real GDP growth (Annual percent change)
Niger,5,2017,Real GDP growth (Annual percent change)
Nigeria,0.8,2017,Real GDP growth (Annual percent change)
North Macedonia ,1.1,2017,Real GDP growth (Annual percent change)
Norway,2.3,2017,Real GDP growth (Annual percent change)
Oman,0.3,2017,Real GDP growth (Annual percent change)
Pakistan,5.2,2017,Real GDP growth (Annual percent change)
Palau,-2,2017,Real GDP growth (Annual percent change)
Panama,5.6,2017,Real GDP growth (Annual percent change)
Papua New Guinea,3.5,2017,Real GDP growth (Annual percent change)
Paraguay,5,2017,Real GDP growth (Annual percent change)
Peru,2.1,2017,Real GDP growth (Annual percent change)
Philippines,6.9,2017,Real GDP growth (Annual percent change)
Poland,4.8,2017,Real GDP growth (Annual percent change)
Portugal,3.5,2017,Real GDP growth (Annual percent change)
Puerto Rico,-2.9,2017,Real GDP growth (Annual percent change)
Qatar,-1.5,2017,Real GDP growth (Annual percent change)
Romania,7.3,2017,Real GDP growth (Annual percent change)
Russian Federation,1.8,2017,Real GDP growth (Annual percent change)
Rwanda,4,2017,Real GDP growth (Annual percent change)
Saint Kitts and Nevis,-2,2017,Real GDP growth (Annual percent change)
Saint Lucia,3.5,2017,Real GDP growth (Annual percent change)
Saint Vincent and the Grenadines,1,2017,Real GDP growth (Annual percent change)
Samoa,1,2017,Real GDP growth (Annual percent change)
San Marino,0.3,2017,Real GDP growth (Annual percent change)
Saudi Arabia,-0.7,2017,Real GDP growth (Annual percent change)
Senegal,7.4,2017,Real GDP growth (Annual percent change)
Serbia,2.1,2017,Real GDP growth (Annual percent change)
Seychelles,5,2017,Real GDP growth (Annual percent change)
Sierra Leone,3.8,2017,Real GDP growth (Annual percent change)
Singapore,4.5,2017,Real GDP growth (Annual percent change)
Slovak Republic,3,2017,Real GDP growth (Annual percent change)
Slovenia,4.8,2017,Real GDP growth (Annual percent change)
Solomon Islands,5.3,2017,Real GDP growth (Annual percent change)
Somalia,1.4,2017,Real GDP growth (Annual percent change)
South Africa,1.4,2017,Real GDP growth (Annual percent change)
"South Sudan, Republic of",-5.8,2017,Real GDP growth (Annual percent change)
Spain,3,2017,Real GDP growth (Annual percent change)
Sri Lanka,3.6,2017,Real GDP growth (Annual percent change)
Sudan,0.7,2017,Real GDP growth (Annual percent change)
Suriname,1.8,2017,Real GDP growth (Annual percent change)
Sweden,2.6,2017,Real GDP growth (Annual percent change)
Switzerland,1.7,2017,Real GDP growth (Annual percent change)
Syria,no data,2017,Real GDP growth (Annual percent change)
São Tomé and Príncipe,3.9,2017,Real GDP growth (Annual percent change)
Taiwan Province of China,3.3,2017,Real GDP growth (Annual percent change)
Tajikistan,7.1,2017,Real GDP growth (Annual percent change)
Tanzania,6.8,2017,Real GDP growth (Annual percent change)
Thailand,4.2,2017,Real GDP growth (Annual percent change)
Timor-Leste,-4.1,2017,Real GDP growth (Annual percent change)
Togo,4.3,2017,Real GDP growth (Annual percent change)
Tonga,3.3,2017,Real GDP growth (Annual percent change)
